idx,id,question,question_len_words,is_answerable,gold_texts,gold_rank,retrieval_success_top1,retrieval_success_at_5,rag_answer,norag_answer,rag_top_context,rag_answer_em,rag_answer_f1,rag_answer_rougeL,rag_answer_abstained,norag_answer_em,norag_answer_f1,norag_answer_rougeL,norag_answer_abstained,error_type
11,5a8d89b5df8bba001a0f9af7,What form does Epona take in the Twilight Realm?,9,False,[],1,True,True,wolf,a sailor,"When Link enters the Twilight Realm, the void that corrupts parts of Hyrule, he transforms into a wolf.[h] He is eventually able to transform between his Hylian and wolf forms at will. As a wolf, Link loses the ability to use his sword, shield, or any secondary items; he instead attacks by biting, and defends primarily by dodging attacks. However, ""Wolf Link"" gains several key advantages in return—he moves faster than he does as a human (though riding Epona is still faster) and digs holes to create new passages and uncover buried items, and has improved senses, including the ability to follow scent trails.[i] He also carries Midna, a small imp-like creature who gives him hints, uses an energy field to attack enemies, helps him jump long distances, and eventually allows Link to ""warp"" to any of several preset locations throughout the overworld.[j] Using Link's wolf senses, the player can see and listen to the wandering spirits of those affected by the Twilight, as well as hunt for enemy ghosts named Poes.[k]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unanswerable failure
12,5730e777aca1c71400fe5b47,How many causalities did the US Air Force suffer during WWII? ,11,True,"[""68,000""]",1,True,True,3,2,"The U.S. War Department created the first antecedent of the U.S. Air Force in 1907, which through a succession of changes of organization, titles, and missions advanced toward eventual separation 40 years later. In World War II, almost 68,000 U.S airmen died helping to win the war; only the infantry suffered more enlisted casualties. In practice, the U.S. Army Air Forces (USAAF) was virtually independent of the Army during World War II, but officials wanted formal independence. The National Security Act of 1947 was signed on on 26 July 1947 by President Harry S Truman, which established the Department of the Air Force, but it was not not until 18 September 1947, when the first secretary of the Air Force, W. Stuart Symington was sworn into office that the Air Force was officially formed.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ignored-evidence hallucination
13,5acd1a9207355d001abf351a,Who ranks first in revenue for world football clubs?,9,False,[],1,True,True,Arsenal,st. john s. st. john s,"Arsenal's financial results for the 2014–15 season show group revenue of £344.5m, with a profit before tax of £24.7m. The footballing core of the business showed a revenue of £329.3m. The Deloitte Football Money League is a publication that homogenizes and compares clubs' annual revenue. They put Arsenal's footballing revenue at £331.3m (€435.5m), ranking Arsenal seventh among world football clubs. Arsenal and Deloitte both list the match day revenue generated by the Emirates Stadium as £100.4m, more than any other football stadium in the world.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unanswerable failure
14,5730d22faca1c71400fe5aed,What does the abbreviation OCA stand for? ,7,True,"[""Offensive Counterair""]",1,True,True,Counterair,octain,"Offensive Counterair (OCA) is defined as ""offensive operations to destroy, disrupt, or neutralize enemy aircraft, missiles, launch platforms, and their supporting structures and systems both before and after launch, but as close to their source as possible"" (JP 1-02). OCA is the preferred method of countering air and missile threats, since it attempts to defeat the enemy closer to its source and typically enjoys the initiative. OCA comprises attack operations, sweep, escort, and suppression/destruction of enemy air defense.",0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,Ignored-evidence hallucination
15,5a20a98f8a6e4f001aa08e21,In what year did Henry Bessemer create Mangalloy?,8,False,[],1,True,True,1882,1897,"With the introduction of the blast furnace to Europe in the Middle Ages, pig iron was able to be produced in much higher volumes than wrought iron. Because pig iron could be melted, people began to develop processes of reducing the carbon in the liquid pig iron to create steel. Puddling was introduced during the 1700s, where molten pig iron was stirred while exposed to the air, to remove the carbon by oxidation. In 1858, Sir Henry Bessemer developed a process of steel-making by blowing hot air through liquid pig iron to reduce the carbon content. The Bessemer process was able to produce the first large scale manufacture of steel. Once the Bessemer process began to gain widespread use, other alloys of steel began to follow. Mangalloy, an alloy of steel and manganese exhibiting extreme hardness and toughness, was one of the first alloy steels, and was created by Robert Hadfield in 1882.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unanswerable failure
16,5727009f5951b619008f846b,Comcast is also the largest media company in the United States in what broadband area?,15,True,"[""Internet service provider""]",1,True,True,home,saskatchewan,"Comcast Corporation, formerly registered as Comcast Holdings,[note 1] is an American multinational mass media company and is the largest broadcasting and largest cable company in the world by revenue. It is the second largest pay-TV company after the AT&T-DirecTV acquisition, largest cable TV company and largest home Internet service provider in the United States, and the nation's third largest home telephone service provider. Comcast services U.S. residential and commercial customers in 40 states and the District of Columbia. The company's headquarters are located in Philadelphia, Pennsylvania.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ignored-evidence hallucination
17,5acd55a707355d001abf3d8f,What region meets the Pacific Coastal Plain?,7,False,[],3,False,True,the Chihuahuan Desert,southeastern pacific,The desert zone also accounts for about a third of the state's surface area. The Chihuahuan Desert is an international biome that also extends into the neighboring Mexican state of Coahuila and into the U.S. states of Texas and New Mexico. The desert zone is mainly of flat topography with some small mountain ranges that run north to south. The desert in the state varies slightly with a small variant in climate. The lower elevations of the desert zone are found in the north along the Rio Grande which experience hotter temperatures in the summer and winter while the southern portion of the desert zone experiences cooler temperatures due to its higher elevation. The Samalayuca dunes cover an area of about 150 km2; it is an impressive site of the Chihuahuan Desert and is a protected area by the state due to unique species of plants and animals.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unanswerable failure
18,56d0f9af17492d1400aab6b9,What are the helpers called that helped Buddha?,8,True,"[""disciples""]",2,False,True,the awakened one,saigon,"Buddhism /ˈbudɪzəm/ is a nontheistic religion[note 1] or philosophy (Sanskrit: धर्म dharma; Pali: धम्म dhamma) that encompasses a variety of traditions, beliefs and spiritual practices largely based on teachings attributed to Gautama Buddha, commonly known as the Buddha (""the awakened one""). According to Buddhist tradition, the Buddha lived and taught in the eastern part of the Indian subcontinent, present-day Nepal sometime between the 6th and 4th centuries BCE.[note 1] He is recognized by Buddhists as an awakened or enlightened teacher who shared his insights to help sentient beings end their suffering through the elimination of ignorance and craving. Buddhists believe that this is accomplished through the direct understanding and perception of dependent origination and the Four Noble Truths.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Retrieval miss / absent-evidence hallucination
19,57303211b2c2fd1400568a3f,Which crown did the King of Scotland inherit in 1603?,10,True,"[""Crown of England""]",1,True,True,Crown of England,king s s s s s s s s s s s s s s s s s s s s s s s s,"Scotland, meanwhile had remained an independent Kingdom. In 1603, that changed when the King of Scotland inherited the Crown of England, and consequently the Crown of Ireland also. The subsequent 17th century was one of political upheaval, religious division and war. English colonialism in Ireland of the 16th century was extended by large-scale Scottish and English colonies in Ulster. Religious division heightened and the King in England came into conflict with parliament. A prime issue was, inter alia, over his policy of tolerance towards Catholicism. The resulting English Civil War or War of the Three Kingdoms led to a revolutionary republic in England. Ireland, largely Catholic was mainly loyal to the king. Following defeat to the parliaments army, large scale land distributions from loyalist Irish nobility to English commoners in the service of the parliamentary army created the beginnings a new Ascendancy class which over the next hundred years would obliterate the English (Hiberno-Norman) and Gaelic Irish nobility in Ireland. The new ruling class was Protestant and British, whilst the common people were largely Catholic and Irish. This theme would influence Irish politics for centuries to come. When the monarchy was restored in England, the king found it politically impossible to restore all the lands of former land-owners in Ireland. The ""Glorious Revolution"" of 1688 repeated similar themes: a Catholic king pushing for religious tolerance in opposition to a Protestant parliament in England. The king's army was defeated at the Battle of the Boyne and at the militarily crucial Battle of Aughrim in Ireland. Resistance held out, and a guarantee of religious tolerance was a cornerstone of the Treaty of Limerick. However, in the evolving political climate, the terms of Limerick were superseded, a new monarchy was installed, and the new Irish parliament was packed with the new elite which legislated increasing intolerant Penal Laws, which discommoded both Dissenters and Catholics.",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Correct
20,570af885ec8fbc190045b79c,What can videoconferencing offer students?,5,True,"[""participating in two-way communication forums""]",1,True,True,the opportunity to learn by participating in two-way communication forums,videoconferencing,"Videoconferencing provides students with the opportunity to learn by participating in two-way communication forums. Furthermore, teachers and lecturers worldwide can be brought to remote or otherwise isolated educational facilities. Students from diverse communities and backgrounds can come together to learn about one another, although language barriers will continue to persist. Such students are able to explore, communicate, analyze and share information and ideas with one another. Through videoconferencing, students can visit other parts of the world to speak with their peers, and visit museums and educational facilities. Such virtual field trips can provide enriched learning opportunities to students, especially those in geographically isolated locations, and to the economically disadvantaged. Small schools can use these technologies to pool resources and provide courses, such as in foreign languages, which could not otherwise be offered.",0.0,0.7142857142857143,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,Ignored-evidence hallucination
21,5725d9feec44d21400f3d6a5,Which piece of music by Johann Strauss was first performed at Buckingham in honor of Princess Alice?,17,True,"[""Alice Polka""]",1,True,True,Alice Polka,saxophone,"Before Prince Albert's death, the palace was frequently the scene of musical entertainments, and the greatest contemporary musicians entertained at Buckingham Palace. The composer Felix Mendelssohn is known to have played there on three occasions. Johann Strauss II and his orchestra played there when in England. Strauss's ""Alice Polka"" was first performed at the palace in 1849 in honour of the queen's daughter, Princess Alice. Under Victoria, Buckingham Palace was frequently the scene of lavish costume balls, in addition to the usual royal ceremonies, investitures and presentations.",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Correct
22,57270ca95951b619008f8539,What were the Turks waiting for when positioned near Akhaltsike?,10,True,"[""reinforcements""]",1,True,True,reinforcements,a slum,"1853: There were four main events. 1. In the north the Turks captured the border fort of Saint Nicholas in a surprise night attack (27/28 October). They then pushed about 20000 troops across the Cholok River border. Being outnumbered the Russians abandoned Poti and Redut Kale and drew back to Marani. Both sides remained immobile for the next seven months. 2. In the center the Turks moved north from Ardahan to within cannon-shot of Akhaltsike and awaited reinforcements (13 November). The Russians routed them. The claimed losses were 4000 Turks and 400 Russians. 3. In the south about 30000 Turks slowly moved east to the main Russian concentration at Gyumri or Alexandropol (November). They crossed the border and set up artillery south of town. Prince Orbeliani tried to drive them off and found himself trapped. The Turks failed to press their advantage, the remaining Russians rescued Orbeliani and the Turks retired west. Orbeliani lost about 1000 men out of 5000. The Russians now decided to advance, the Turks took up a strong position on the Kars road and attacked. They were defeated in the battle of Başgedikler, losing 6000 men, half their artillery and all their supply train. The Russians lost 1300, including Prince Orbeliani. This was Prince Ellico Orbeliani whose wife was later kidnaped by Shamyl at Tsinandali. 4. At sea the Turks sent a fleet east which was destroyed by Admiral Nakhimov at Sinope.",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Correct
23,56cff567234ae51400d9c16f,How much office space did Manhatten possess in 2015?,9,True,"[""500 million square feet""]",1,True,True,46.5 million m2),a total of a total of a total of a total of a total of a total of a total of a total of a total of a total of a total of a total of a,"Many of the world's largest media conglomerates are also based in the city. Manhattan contained over 500 million square feet (46.5 million m2) of office space in 2015, making it the largest office market in the United States, while Midtown Manhattan, with nearly 400 million square feet (37.2 million m2) in 2015, is the largest central business district in the world.",0.0,0.28571428571428575,0.28571428571428575,0.0,0.0,0.0,0.0,0.0,Ignored-evidence hallucination
24,57290ee56aef051400154a04,"Which city did Baden, Württemberg-Baden, and Württemberg-Hohenzollern merge into?",9,True,"[""Baden-W\u00fcrttemberg""]",1,True,True,Baden-Württemberg,berlin,"In 1952, following a referendum, Baden, Württemberg-Baden, and Württemberg-Hohenzollern merged into Baden-Württemberg. In 1957, the Saar Protectorate rejoined the Federal Republic as the Saarland. German reunification in 1990, in which the German Democratic Republic (East Germany) ascended into the Federal Republic, resulted in the addition of the re-established eastern states of Brandenburg, Mecklenburg-West Pomerania (in German Mecklenburg-Vorpommern), Saxony (Sachsen), Saxony-Anhalt (Sachsen-Anhalt), and Thuringia (Thüringen), as well as the reunification of West and East Berlin into Berlin and its establishment as a full and equal state. A regional referendum in 1996 to merge Berlin with surrounding Brandenburg as ""Berlin-Brandenburg"" failed to reach the necessary majority vote in Brandenburg, while a majority of Berliners voted in favour of the merger.",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Correct
25,571a901410f8ca140030514a,Was this differing view common among Christians of the day?,10,True,"[""common Christological view""]",1,True,True,yes,no,"In about 319, when Athanasius was a deacon, a presbyter named Arius came into a direct conflict with Alexander of Alexandria. It appears that Arius reproached Alexander for what he felt were misguided or heretical teachings being taught by the bishop. Arius's theological views appear to have been firmly rooted in Alexandrian Christianity, and his Christological views were certainly not radical at all. He embraced a subordinationist Christology which taught that Christ was the divine Son (Logos) of God, made, not begotten, heavily influenced by Alexandrian thinkers like Origen, and which was a common Christological view in Alexandria at the time. Support for Arius from powerful bishops like Eusebius of Caesarea and Eusebius of Nicomedia, further illustrate how Arius's subordinationist Christology was shared by other Christians in the Empire. Arius was subsequently excommunicated by Alexander, and he would begin to elicit the support of many bishops who agreed with his position.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ignored-evidence hallucination
26,5a8cccd9fd22b3001a8d8e9a,What city was the first FA Cup Final on Radio not broadcast in?,13,False,[],1,True,True,Manchester,st johns,"In the early years of coverage the BBC had exclusive radio coverage with a picture of the pitch marked in the Radio Times with numbered squares to help the listener follow the match on the radio. The first FA Cup Final on Radio was in 1926 between Bolton Wanderers and Manchester City but this was only broadcast in Manchester, the first national final on BBC Radio was between Arsenal and Cardiff in 1927. The first final on BBC Television was in 1937 in a match which featured Sunderland and Preston North End but this was not televised in full. The following season's final between Preston and Huddersfield was covered in full by the BBC. When ITV was formed in 1955 they shared final coverage with the BBC in one of the only club matches shown live on television, during the 1970s and 1980s coverage became more elaborate with BBC and ITV trying to steal viewers from the others by starting coverage earlier and earlier some starting as early as 9 a.m. which was six hours before kick off. Nowadays, this continues with Setanta and ESPN having all-day broadcasts from Wembley, but terrestrial TV coverage usually begins two hours before kick off. The sharing of rights between BBC and ITV continued from 1955 to 1988, when ITV lost coverage to the new Sports Channel which later became Sky Sports.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unanswerable failure
27,56ddfc5f4396321400ee252a,How many government-affiliated institutes of technology are there in India?,10,True,"[""30""]",1,True,True,16,ten,There are 16 autonomous Indian Institutes of Technology in addition to 30 National Institutes of Technology which are Government Institutions. In addition to these there are many other Universities which offer higher technical courses. The Authority over technical education in India is the AICTE.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ignored-evidence hallucination
28,5727e2e12ca10214002d98a2,How did Northwestern create 84 additional acres in the 1960's?,10,True,"[""by means of a lakefill in Lake Michigan""]",1,True,True,by means of a lakefill in Lake Michigan,a sandstone sandstone sandstone sandstone,"Northwestern's Evanston campus, where the undergraduate schools, the Graduate School, and the Kellogg School of Management are located, runs north-south from Lincoln Avenue to Clark Street west of Lake Michigan along Sheridan Road. North and South Campuses have noticeably different atmospheres, owing to the predominance of Science and Athletics in the one and Humanities and Arts in the other. North Campus is home to the fraternity quads, the Henry Crown Sports Pavilion and Norris Aquatics Center and other athletic facilities, the Technological Institute, Dearborn Observatory, and other science-related buildings including Patrick G. and Shirley W. Ryan Hall for Nanofabrication and Molecular Self-Assembly, and the Ford Motor Company Engineering Design Center. South Campus is home to the University's humanities buildings, Pick-Staiger Concert Hall and other music buildings, the Mary and Leigh Block Museum of Art, and the sorority quads. In the 1960s, the University created an additional 84 acres (34.0 ha) by means of a lakefill in Lake Michigan. Among some of the buildings located on these broad new acres are University Library, Norris University Center (the student union), and Pick-Staiger Concert Hall.",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Correct
29,5726c077708984140094d07e,What are advantages of pancake motors?,6,True,"[""minimal time to reach operating speed and minimal stopping distance""]",1,True,True,"high-performance servo-controlled systems, robotic systems, industrial automation and medical devices",a swivel cylinder,"These motors were originally invented to drive the capstan(s) of magnetic tape drives in the burgeoning computer industry, where minimal time to reach operating speed and minimal stopping distance were critical. Pancake motors are still widely used in high-performance servo-controlled systems, robotic systems, industrial automation and medical devices. Due to the variety of constructions now available, the technology is used in applications from high temperature military to low cost pump and basic servos.",0.0,0.10000000000000002,0.10000000000000002,0.0,0.0,0.0,0.0,0.0,Ignored-evidence hallucination
30,56ccd9b562d2951400fa64d2,Who established the Tibetan law code?,6,True,"[""Tai Situ Changchub Gyaltsen""]",1,True,True,Phagmodru ruler Tai Situ Changchub Gyaltsen,samuel sai,"The Ming court appointed three Princes of Dharma (法王) and five Princes (王), and granted many other titles, such as Grand State Tutors (大國師) and State Tutors (國師), to the important schools of Tibetan Buddhism, including the Karma Kagyu, Sakya, and Gelug. According to Wang Jiawei and Nyima Gyaincain, leading officials of these organs were all appointed by the central government and were subject to the rule of law. Yet Van Praag describes the distinct and long-lasting Tibetan law code established by the Phagmodru ruler Tai Situ Changchub Gyaltsen as one of many reforms to revive old Imperial Tibetan traditions.",0.0,0.8,0.8,0.0,0.0,0.0,0.0,0.0,Correct
